"record_id","transaction_id","date","time","location_id","SKU","quantity","is_member","customer_id","total_with_tax","tax"
"211","1312","2022-12-04","15:29:07","1","1m6s7","4","true","33","8.80","1.47"
"792","1312","2022-12-04","15:29:07","1","jv78l","4","true","33","5.20","0.87"
"104","1311","2022-12-10","19:09:57","2","jv78l","3","true","12","3.90","0.65"
"334","1311","2022-12-10","19:09:57","3","bau61","4","true","12","0.80","0.13"
"437","1311","2022-12-10","19:09:57","5","1m6s7","3","true","12","6.60","1.10"
"654","1311","2022-12-10","19:09:57","2","j0ayn","3","true","12","4.50","0.75"
"802","1311","2022-12-10","19:09:57","4","xfjts","5","true","12","1.00","0.17"
"444","1310","2022-12-18","17:51:03","4","qbzh7","5","false","0","12.50","2.08"
"478","1310","2022-12-18","17:51:03","1","ttyc7","2","false","0","4.80","0.80"
"66","1309","2022-12-08","15:27:07","3","9gc8o","5","false","0","27.50","4.58"
"381","1309","2022-12-08","15:27:07","5","9gc8o","2","false","0","11.00","1.83"
"615","1309","2022-12-08","15:27:07","4","osv5f","5","false","0","10.00","1.67"
"643","1309","2022-12-08","15:27:07","4","e02d7","3.32","false","0","0.33","0.05"
"250","1308","2022-12-07","11:00:16","5","qbzh7","5","true","9","12.50","2.08"
"59","1307","2022-12-22","11:56:42","4","ysrak","2","false","0","4.60","0.77"
"316","1307","2022-12-22","11:56:42","2","qmqeu","2","false","0","5.20","0.87"
"600","1307","2022-12-22","11:56:42","5","xfjts","4","false","0","0.80","0.13"
"651","1307","2022-12-22","11:56:42","3","xfjts","4","false","0","0.80","0.13"
"662","1307","2022-12-22","11:56:42","2","hw422","5","false","0","7.00","1.17"
"791","1307","2022-12-22","11:56:42","3","ypf75","3.48","false","0","8.70","1.45"
"816","1307","2022-12-22","11:56:42","5","e02d7","3.87","false","0","0.39","0.07"
"596","1306","2022-12-19","8:18:03","3","jv78l","5","false","0","6.50","1.08"
"675","1306","2022-12-19","8:18:03","4","ttyc7","2","false","0","4.80","0.80"
"270","1305","2022-12-21","14:18:38","2","jv78l","2","true","87","2.60","0.43"
"390","1305","2022-12-21","14:18:38","1","j0ayn","2","true","87","3.00","0.50"
"474","1305","2022-12-21","14:18:38","1","fjl3q","2","true","87","0.40","0.07"
"213","1304","2022-12-15","17:22:21","3","qbzh7","5","true","63","12.50","2.08"
"471","1304","2022-12-15","17:22:21","3","sm0ik","5","true","63","6.00","1.00"
"966","1304","2022-12-15","17:22:21","3","skexy","4","true","63","12.00","2.00"
"291","1303","2022-12-19","16:10:31","4","ck5sb","3","false","0","5.10","0.85"
"545","1303","2022-12-19","16:10:31","3","ypf75","2.49","false","0","6.23","1.04"
"847","1303","2022-12-19","16:10:31","1","ttyc7","3","false","0","7.20","1.20"
"955","1303","2022-12-19","16:10:31","2","sm0ik","2","false","0","2.40","0.40"
"463","1302","2022-12-25","9:37:33","5","1m6s7","5","false","0","11.00","1.83"
"831","1302","2022-12-25","9:37:33","4","osv5f","3","false","0","6.00","1.00"
"182","1301","2022-12-05","12:41:35","2","qmqeu","5","false","0","13.00","2.17"
"326","1301","2022-12-05","12:41:35","2","ysrak","5","false","0","11.50","1.92"
"609","1301","2022-12-05","12:41:35","5","xfjts","4","false","0","0.80","0.13"
"417","1300","2022-12-10","15:46:59","3","xfjts","4","false","0","0.80","0.13"
"890","1300","2022-12-10","15:46:59","4","hw422","4","false","0","5.60","0.93"
"948","1300","2022-12-10","15:46:59","5","qbzh7","5","false","0","12.50","2.08"
"755","1299","2022-12-28","12:41:49","2","cdue8","5","false","0","1.00","0.17"
"821","1299","2022-12-28","12:41:49","5","fjl3q","3","false","0","0.60","0.10"
"882","1299","2022-12-28","12:41:49","3","9gc8o","2","false","0","11.00","1.83"
"26","1298","2022-12-03","9:11:12","3","qmqeu","3","true","79","7.80","1.30"
"187","1298","2022-12-03","9:11:12","3","j0ayn","2","true","79","3.00","0.50"
"850","1298","2022-12-03","9:11:12","5","skexy","2","true","79","6.00","1.00"
"861","1298","2022-12-03","9:11:12","4","jv78l","4","true","79","5.20","0.87"
"36","1297","2022-12-19","11:44:59","3","ypf75","3.85","true","1","9.63","1.61"
"108","1297","2022-12-19","11:44:59","1","hw422","5","true","1","7.00","1.17"
"157","1297","2022-12-19","11:44:59","4","qmqeu","5","true","1","13.00","2.17"
"220","1297","2022-12-19","11:44:59","2","bau61","4","true","1","0.80","0.13"
"446","1297","2022-12-19","11:44:59","2","fjl3q","2","true","1","0.40","0.07"
"22","1296","2022-12-30","11:48:29","2","1m6s7","5","false","0","11.00","1.83"
"204","1296","2022-12-30","11:48:29","3","ysrak","5","false","0","11.50","1.92"
"618","1296","2022-12-30","11:48:29","2","iu8mz","3.92","false","0","7.84","1.31"
"221","1295","2022-12-08","14:03:34","2","bau61","2","true","65","0.40","0.07"
"977","1295","2022-12-08","14:03:34","3","cdue8","4","true","65","0.80","0.13"
"324","1294","2022-12-09","15:15:30","2","1m6s7","5","true","81","11.00","1.83"
"571","1294","2022-12-09","15:15:30","1","fjl3q","3","true","81","0.60","0.10"
"239","1293","2022-12-17","14:31:46","5","1m6s7","5","false","0","11.00","1.83"
"257","1293","2022-12-17","14:31:46","1","iu8mz","1.98","false","0","3.96","0.66"
"544","1293","2022-12-17","14:31:46","2","ck5sb","2","false","0","3.40","0.57"
"546","1293","2022-12-17","14:31:46","5","iu8mz","3.96","false","0","7.92","1.32"
"41","1292","2022-12-18","16:23:40","2","ck5sb","4","false","0","6.80","1.13"
"216","1292","2022-12-18","16:23:40","5","skexy","5","false","0","15.00","2.50"
"450","1292","2022-12-18","16:23:40","4","hw422","4","false","0","5.60","0.93"
"940","1292","2022-12-18","16:23:40","5","xfjts","4","false","0","0.80","0.13"
"27","1291","2022-12-03","14:17:50","5","jv78l","2","true","57","2.60","0.43"
"307","1291","2022-12-03","14:17:50","1","skexy","4","true","57","12.00","2.00"
"365","1291","2022-12-03","14:17:50","4","qbzh7","2","true","57","5.00","0.83"
"650","1291","2022-12-03","14:17:50","1","xfjts","3","true","57","0.60","0.10"
"344","1290","2022-12-03","18:25:18","1","osv5f","4","true","64","8.00","1.33"
"907","1290","2022-12-03","18:25:18","5","qbzh7","3","true","64","7.50","1.25"
"987","1290","2022-12-03","18:25:18","2","osv5f","5","true","64","10.00","1.67"
"469","1289","2022-12-14","14:34:34","5","sm0ik","2","true","7","2.40","0.40"
"527","1289","2022-12-14","14:34:34","5","jv78l","4","true","7","5.20","0.87"
"760","1289","2022-12-14","14:34:34","3","osv5f","3","true","7","6.00","1.00"
"395","1288","2022-12-16","14:16:19","2","osv5f","2","false","0","4.00","0.67"
"490","1288","2022-12-16","14:16:19","4","ttyc7","4","false","0","9.60","1.60"
"971","1288","2022-12-16","14:16:19","4","e02d7","1.04","false","0","0.10","0.02"
"994","1288","2022-12-16","14:16:19","3","osv5f","5","false","0","10.00","1.67"
"325","1287","2022-12-12","11:45:06","5","ck5sb","5","true","46","8.50","1.42"
"382","1287","2022-12-12","11:45:06","3","jv78l","2","true","46","2.60","0.43"
"482","1287","2022-12-12","11:45:06","4","hw422","4","true","46","5.60","0.93"
"604","1287","2022-12-12","11:45:06","3","xfjts","4","true","46","0.80","0.13"
"970","1287","2022-12-12","11:45:06","1","xfjts","5","true","46","1.00","0.17"
"48","1286","2022-12-03","12:24:27","1","qmqeu","5","false","0","13.00","2.17"
"779","1286","2022-12-03","12:24:27","5","bau61","5","false","0","1.00","0.17"
"224","1285","2022-12-05","11:10:34","2","jv78l","2","false","0","2.60","0.43"
"323","1285","2022-12-05","11:10:34","3","cdue8","5","false","0","1.00","0.17"
"377","1285","2022-12-05","11:10:34","3","bau61","2","false","0","0.40","0.07"
"393","1285","2022-12-05","11:10:34","2","1m6s7","3","false","0","6.60","1.10"
"479","1285","2022-12-05","11:10:34","5","bau61","3","false","0","0.60","0.10"
"592","1285","2022-12-05","11:10:34","2","1m6s7","3","false","0","6.60","1.10"
"37","1284","2022-12-14","16:08:24","3","e02d7","2.9","false","0","0.29","0.05"
"249","1284","2022-12-14","16:08:24","3","xfjts","3","false","0","0.60","0.10"
"964","1284","2022-12-14","16:08:24","1","xfjts","3","false","0","0.60","0.10"
"644","1282","2022-12-20","8:59:11","2","e02d7","2.27","false","0","0.23","0.04"
"823","1282","2022-12-20","8:59:11","4","jv78l","5","false","0","6.50","1.08"
"424","1281","2022-12-16","19:18:54","3","skexy","3","true","16","9.00","1.50"
"941","1281","2022-12-16","19:18:54","4","qbzh7","4","true","16","10.00","1.67"
"73","1280","2022-12-09","16:04:25","2","9gc8o","2","false","0","11.00","1.83"
"607","1280","2022-12-09","16:04:25","1","qbzh7","2","false","0","5.00","0.83"
"174","1279","2022-12-11","13:00:07","1","xfjts","4","false","0","0.80","0.13"
"336","1279","2022-12-11","13:00:07","4","iu8mz","4.27","false","0","8.54","1.42"
"642","1279","2022-12-11","13:00:07","1","ttyc7","3","false","0","7.20","1.20"
"698","1279","2022-12-11","13:00:07","1","ttyc7","3","false","0","7.20","1.20"
"16","1278","2022-12-01","10:06:54","4","ysrak","5","true","98","11.50","1.92"
"102","1278","2022-12-01","10:06:54","1","hw422","4","true","98","5.60","0.93"
"422","1278","2022-12-01","10:06:54","3","ysrak","5","true","98","11.50","1.92"
"825","1277","2022-12-18","13:59:42","2","ysrak","4","true","52","9.20","1.53"
"341","1275","2022-12-23","14:52:16","1","skexy","5","false","0","15.00","2.50"
"605","1275","2022-12-23","14:52:16","2","iu8mz","2.61","false","0","5.22","0.87"
"655","1275","2022-12-23","14:52:16","2","j0ayn","4","false","0","6.00","1.00"
"827","1275","2022-12-23","14:52:16","4","ypf75","2.09","false","0","5.22","0.87"
"470","1274","2022-12-14","16:28:59","4","ttyc7","2","true","5","4.80","0.80"
"513","1274","2022-12-14","16:28:59","2","j0ayn","2","true","5","3.00","0.50"
"686","1274","2022-12-14","16:28:59","3","cdue8","3","true","5","0.60","0.10"
"713","1274","2022-12-14","16:28:59","3","xfjts","2","true","5","0.40","0.07"
"768","1274","2022-12-14","16:28:59","5","ypf75","3.28","true","5","8.20","1.37"
"803","1274","2022-12-14","16:28:59","3","e02d7","3.99","true","5","0.40","0.07"
"89","1273","2022-12-17","9:07:49","1","j0ayn","2","true","97","3.00","0.50"
"154","1273","2022-12-17","9:07:49","5","e02d7","3.95","true","97","0.40","0.07"
"347","1273","2022-12-17","9:07:49","4","osv5f","2","true","97","4.00","0.67"
"731","1273","2022-12-17","9:07:49","5","qbzh7","2","true","97","5.00","0.83"
"892","1273","2022-12-17","9:07:49","4","ysrak","4","true","97","9.20","1.53"
"663","1272","2022-12-08","15:48:15","4","sm0ik","4","true","78","4.80","0.80"
"807","1272","2022-12-08","15:48:15","3","hw422","5","true","78","7.00","1.17"
"929","1272","2022-12-08","15:48:15","1","cdue8","2","true","78","0.40","0.07"
"349","1271","2022-12-24","11:53:51","5","iu8mz","3.15","true","44","6.30","1.05"
"127","1270","2022-12-15","8:48:12","4","hw422","3","false","0","4.20","0.70"
"737","1270","2022-12-15","8:48:12","2","1m6s7","4","false","0","8.80","1.47"
"386","1269","2022-12-17","8:30:40","5","ysrak","4","true","65","9.20","1.53"
"637","1269","2022-12-17","8:30:40","1","iu8mz","2.4","true","65","4.80","0.80"
"687","1269","2022-12-17","8:30:40","2","qbzh7","2","true","65","5.00","0.83"
"771","1269","2022-12-17","8:30:40","2","ysrak","3","true","65","6.90","1.15"
"549","1268","2022-12-18","17:23:58","2","ck5sb","5","false","0","8.50","1.42"
"586","1268","2022-12-18","17:23:58","1","osv5f","4","false","0","8.00","1.33"
"744","1268","2022-12-18","17:23:58","3","cdue8","2","false","0","0.40","0.07"
"814","1268","2022-12-18","17:23:58","1","qmqeu","2","false","0","5.20","0.87"
"999","1268","2022-12-18","17:23:58","2","ttyc7","5","false","0","12.00","2.00"
"51","1267","2022-12-07","8:48:08","2","ysrak","5","true","96","11.50","1.92"
"136","1267","2022-12-07","8:48:08","5","e02d7","1.02","true","96","0.10","0.02"
"680","1267","2022-12-07","8:48:08","3","bau61","3","true","96","0.60","0.10"
"704","1267","2022-12-07","8:48:08","5","1m6s7","5","true","96","11.00","1.83"
"943","1267","2022-12-07","8:48:08","1","fjl3q","5","true","96","1.00","0.17"
"93","1266","2022-12-17","15:49:13","1","qbzh7","2","true","10","5.00","0.83"
"302","1266","2022-12-17","15:49:13","3","hw422","4","true","10","5.60","0.93"
"520","1266","2022-12-17","15:49:13","1","9gc8o","4","true","10","22.00","3.67"
"854","1266","2022-12-17","15:49:13","1","xfjts","2","true","10","0.40","0.07"
"456","1265","2022-12-28","19:06:02","5","qbzh7","2","false","0","5.00","0.83"
"572","1265","2022-12-28","19:06:02","1","skexy","2","false","0","6.00","1.00"
"574","1265","2022-12-28","19:06:02","1","ypf75","3.06","false","0","7.65","1.27"
"392","1264","2022-12-30","19:27:01","4","ttyc7","5","true","51","12.00","2.00"
"608","1264","2022-12-30","19:27:01","1","xfjts","4","true","51","0.80","0.13"
"626","1264","2022-12-30","19:27:01","2","ttyc7","4","true","51","9.60","1.60"
"632","1264","2022-12-30","19:27:01","5","fjl3q","4","true","51","0.80","0.13"
"911","1264","2022-12-30","19:27:01","4","cdue8","5","true","51","1.00","0.17"
"7","1263","2022-12-21","19:54:06","1","9gc8o","2","false","0","11.00","1.83"
"119","1263","2022-12-21","19:54:06","1","hw422","2","false","0","2.80","0.47"
"318","1263","2022-12-21","19:54:06","2","ttyc7","5","false","0","12.00","2.00"
"682","1263","2022-12-21","19:54:06","2","qmqeu","5","false","0","13.00","2.17"
"689","1263","2022-12-21","19:54:06","1","j0ayn","4","false","0","6.00","1.00"
"281","1262","2022-12-05","14:18:49","5","xfjts","3","true","13","0.60","0.10"
"688","1262","2022-12-05","14:18:49","5","ttyc7","5","true","13","12.00","2.00"
"9","1261","2022-12-08","13:45:53","3","ypf75","1.83","false","0","4.58","0.76"
"103","1261","2022-12-08","13:45:53","3","ypf75","4.4","false","0","11.00","1.83"
"894","1261","2022-12-08","13:45:53","2","jv78l","4","false","0","5.20","0.87"
"765","1260","2022-12-17","15:16:35","2","ck5sb","3","false","0","5.10","0.85"
"913","1260","2022-12-17","15:16:35","1","qbzh7","5","false","0","12.50","2.08"
"426","1259","2022-12-17","14:57:00","3","ttyc7","2","false","0","4.80","0.80"
"752","1259","2022-12-17","14:57:00","3","xfjts","2","false","0","0.40","0.07"
"830","1259","2022-12-17","14:57:00","1","1m6s7","3","false","0","6.60","1.10"
"40","1258","2022-12-03","13:25:30","1","hw422","4","true","76","5.60","0.93"
"389","1258","2022-12-03","13:25:30","1","qbzh7","3","true","76","7.50","1.25"
"190","1257","2022-12-27","12:22:59","3","qbzh7","5","true","73","12.50","2.08"
"449","1257","2022-12-27","12:22:59","3","cdue8","5","true","73","1.00","0.17"
"507","1257","2022-12-27","12:22:59","2","j0ayn","2","true","73","3.00","0.50"
"146","1256","2022-12-12","18:33:52","1","ttyc7","4","true","4","9.60","1.60"
"218","1256","2022-12-12","18:33:52","3","qbzh7","3","true","4","7.50","1.25"
"277","1256","2022-12-12","18:33:52","5","e02d7","3.25","true","4","0.33","0.05"
"769","1256","2022-12-12","18:33:52","2","j0ayn","4","true","4","6.00","1.00"
"889","1256","2022-12-12","18:33:52","4","skexy","4","true","4","12.00","2.00"
"921","1256","2022-12-12","18:33:52","1","skexy","5","true","4","15.00","2.50"
"56","1255","2022-12-19","18:20:44","4","skexy","4","false","0","12.00","2.00"
"202","1255","2022-12-19","18:20:44","2","bau61","4","false","0","0.80","0.13"
"373","1255","2022-12-19","18:20:44","3","cdue8","3","false","0","0.60","0.10"
"409","1255","2022-12-19","18:20:44","2","skexy","3","false","0","9.00","1.50"
"858","1255","2022-12-19","18:20:44","5","bau61","4","false","0","0.80","0.13"
"401","1254","2022-12-12","18:56:01","3","e02d7","2.51","true","81","0.25","0.04"
"751","1254","2022-12-12","18:56:01","2","ck5sb","3","true","81","5.10","0.85"
"757","1254","2022-12-12","18:56:01","4","j0ayn","4","true","81","6.00","1.00"
"141","1253","2022-12-18","8:28:23","3","j0ayn","3","true","23","4.50","0.75"
"363","1253","2022-12-18","8:28:23","4","e02d7","1.25","true","23","0.13","0.02"
"540","1253","2022-12-18","8:28:23","4","skexy","4","true","23","12.00","2.00"
"556","1253","2022-12-18","8:28:23","1","qbzh7","2","true","23","5.00","0.83"
"581","1253","2022-12-18","8:28:23","5","skexy","5","true","23","15.00","2.50"
"761","1252","2022-12-09","18:01:00","4","ttyc7","2","true","20","4.80","0.80"
"897","1252","2022-12-09","18:01:00","3","skexy","5","true","20","15.00","2.50"
"267","1251","2022-12-30","16:29:15","1","xfjts","2","true","6","0.40","0.07"
"451","1251","2022-12-30","16:29:15","3","cdue8","5","true","6","1.00","0.17"
"665","1251","2022-12-30","16:29:15","2","skexy","4","true","6","12.00","2.00"
"726","1251","2022-12-30","16:29:15","3","sm0ik","3","true","6","3.60","0.60"
"864","1251","2022-12-30","16:29:15","4","bau61","4","true","6","0.80","0.13"
"42","1250","2022-12-01","9:36:38","4","j0ayn","3","true","9","4.50","0.75"
"131","1250","2022-12-01","9:36:38","5","xfjts","2","true","9","0.40","0.07"
"412","1250","2022-12-01","9:36:38","4","jv78l","4","true","9","5.20","0.87"
"742","1250","2022-12-01","9:36:38","5","cdue8","3","true","9","0.60","0.10"
"555","1249","2022-12-13","9:17:09","1","ysrak","2","true","99","4.60","0.77"
"264","1248","2022-12-25","13:14:35","5","jv78l","3","true","93","3.90","0.65"
"767","1248","2022-12-25","13:14:35","1","cdue8","3","true","93","0.60","0.10"
"828","1248","2022-12-25","13:14:35","4","iu8mz","3.77","true","93","7.54","1.26"
"886","1248","2022-12-25","13:14:35","3","hw422","2","true","93","2.80","0.47"
"926","1248","2022-12-25","13:14:35","1","xfjts","3","true","93","0.60","0.10"
"91","1247","2022-12-12","15:22:28","2","bau61","2","true","55","0.40","0.07"
"454","1247","2022-12-12","15:22:28","2","1m6s7","4","true","55","8.80","1.47"
"636","1247","2022-12-12","15:22:28","2","1m6s7","4","true","55","8.80","1.47"
"664","1247","2022-12-12","15:22:28","4","qmqeu","5","true","55","13.00","2.17"
"290","1246","2022-12-06","8:24:07","2","qbzh7","5","true","85","12.50","2.08"
"739","1246","2022-12-06","8:24:07","5","osv5f","3","true","85","6.00","1.00"
"846","1246","2022-12-06","8:24:07","1","e02d7","3.29","true","85","0.33","0.05"
"497","1245","2022-12-28","8:47:04","5","ypf75","1.82","false","0","4.55","0.76"
"573","1245","2022-12-28","8:47:04","2","fjl3q","2","false","0","0.40","0.07"
"598","1244","2022-12-10","13:14:54","2","ck5sb","3","false","0","5.10","0.85"
"923","1244","2022-12-10","13:14:54","2","qbzh7","2","false","0","5.00","0.83"
"58","1243","2022-12-26","18:48:19","3","osv5f","2","false","0","4.00","0.67"
"64","1243","2022-12-26","18:48:19","5","1m6s7","2","false","0","4.40","0.73"
"465","1243","2022-12-26","18:48:19","4","ypf75","3.88","false","0","9.70","1.62"
"717","1241","2022-12-28","19:54:44","1","qmqeu","5","true","29","13.00","2.17"
"773","1241","2022-12-28","19:54:44","5","fjl3q","3","true","29","0.60","0.10"
"306","1240","2022-12-12","19:40:51","4","ysrak","3","false","0","6.90","1.15"
"311","1240","2022-12-12","19:40:51","5","qbzh7","2","false","0","5.00","0.83"
"462","1240","2022-12-12","19:40:51","1","hw422","5","false","0","7.00","1.17"
"857","1240","2022-12-12","19:40:51","1","cdue8","4","false","0","0.80","0.13"
"428","1239","2022-12-15","12:59:44","3","bau61","3","true","9","0.60","0.10"
"29","1238","2022-12-05","8:32:27","4","jv78l","2","false","0","2.60","0.43"
"495","1238","2022-12-05","8:32:27","1","ttyc7","2","false","0","4.80","0.80"
"881","1238","2022-12-05","8:32:27","2","ttyc7","5","false","0","12.00","2.00"
"132","1237","2022-12-09","15:25:27","2","ysrak","3","true","2","6.90","1.15"
"536","1237","2022-12-09","15:25:27","1","jv78l","2","true","2","2.60","0.43"
"824","1237","2022-12-09","15:25:27","2","ttyc7","3","true","2","7.20","1.20"
"226","1236","2022-12-29","19:48:03","1","qmqeu","5","false","0","13.00","2.17"
"246","1236","2022-12-29","19:48:03","5","qmqeu","2","false","0","5.20","0.87"
"781","1236","2022-12-29","19:48:03","1","iu8mz","2.45","false","0","4.90","0.82"
"321","1235","2022-12-09","12:01:03","4","1m6s7","2","true","51","4.40","0.73"
"86","1234","2022-12-21","17:57:59","2","1m6s7","3","true","52","6.60","1.10"
"106","1234","2022-12-21","17:57:59","1","e02d7","3.11","true","52","0.31","0.05"
"775","1234","2022-12-21","17:57:59","2","qbzh7","2","true","52","5.00","0.83"
"13","1233","2022-12-09","13:43:50","4","sm0ik","5","true","9","6.00","1.00"
"534","1233","2022-12-09","13:43:50","5","skexy","4","true","9","12.00","2.00"
"880","1233","2022-12-09","13:43:50","5","osv5f","2","true","9","4.00","0.67"
"870","1232","2022-12-12","18:36:18","1","iu8mz","1.19","true","29","2.38","0.40"
"33","1231","2022-12-24","12:53:30","3","hw422","2","false","0","2.80","0.47"
"379","1231","2022-12-24","12:53:30","2","fjl3q","3","false","0","0.60","0.10"
"46","1230","2022-12-20","13:51:16","1","jv78l","2","false","0","2.60","0.43"
"785","1230","2022-12-20","13:51:16","3","1m6s7","4","false","0","8.80","1.47"
"849","1230","2022-12-20","13:51:16","5","ysrak","5","false","0","11.50","1.92"
"969","1230","2022-12-20","13:51:16","5","ypf75","1.54","false","0","3.85","0.64"
"259","1229","2022-12-16","11:48:37","2","ttyc7","4","false","0","9.60","1.60"
"294","1229","2022-12-16","11:48:37","2","osv5f","3","false","0","6.00","1.00"
"301","1229","2022-12-16","11:48:37","2","1m6s7","4","false","0","8.80","1.47"
"498","1229","2022-12-16","11:48:37","4","hw422","4","false","0","5.60","0.93"
"553","1229","2022-12-16","11:48:37","3","ysrak","5","false","0","11.50","1.92"
"728","1229","2022-12-16","11:48:37","5","jv78l","4","false","0","5.20","0.87"
"502","1228","2022-12-08","17:56:54","2","xfjts","5","true","2","1.00","0.17"
"631","1228","2022-12-08","17:56:54","2","bau61","5","true","2","1.00","0.17"
